Title,Year,Certificate,Length,Genre,Rating
Whiplash,2014,R,106,"Drama, Music            ",8.5
Kingsman: The Secret Service,2014,R,129,"Action, Adventure, Comedy            ",7.7
The Notebook,2004,PG-13,123,"Drama, Romance            ",7.8
Shaun of the Dead,2004,R,99,"Comedy, Horror            ",7.9
Cast Away,2000,PG-13,143,"Adventure, Drama, Romance            ",7.8
Star Trek Into Darkness,2013,PG-13,132,"Action, Adventure, Sci-Fi            ",7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,R,119,"Comedy, Drama            ",7.7
Watchmen,2009,R,162,"Action, Drama, Mystery            ",7.6
Casablanca,1942,PG,102,"Drama, Romance, War            ",8.5
"I, Robot",2004,PG-13,115,"Action, Mystery, Sci-Fi            ",7.1
Oblivion,2013,PG-13,124,"Action, Adventure, Sci-Fi            ",7.0
Harry Potter and the Chamber of Secrets,2002,PG,161,"Adventure, Family, Fantasy            ",7.4
Zombieland,2009,R,88,"Action, Comedy, Horror            ",7.6
Despicable Me,2010,PG,95,"Animation, Adventure, Comedy            ",7.6
Toy Story 2,1999,G,92,"Animation, Adventure, Comedy            ",7.9
Harry Potter and the Goblet of Fire,2005,PG-13,157,"Adventure, Family, Fantasy            ",7.7
Rain Man,1988,R,133,Drama            ,8.0
X-Men: The Last Stand,2006,PG-13,104,"Action, Adventure, Sci-Fi            ",6.6
Prisoners,2013,R,153,"Crime, Drama, Mystery            ",8.1
Spider-Man 3,2007,PG-13,139,"Action, Adventure, Sci-Fi            ",6.3
Monty Python and the Holy Grail,1975,PG,91,"Adventure, Comedy, Fantasy            ",8.2
Harry Potter and the Prisoner of Azkaban,2004,PG,142,"Adventure, Family, Fantasy            ",7.9
Troy,2004,R,163,Drama            ,7.3
Pacific Rim,2013,PG-13,131,"Action, Adventure, Sci-Fi            ",6.9
Source Code,2011,PG-13,93,"Action, Drama, Mystery            ",7.5
500 Days of Summer,2009,PG-13,95,"Comedy, Drama, Romance            ",7.7
The Hangover Part II,2011,R,102,Comedy            ,6.5
"Crazy, Stupid, Love.",2011,PG-13,118,"Comedy, Drama, Romance            ",7.4
Rocky,1976,PG,120,"Drama, Sport            ",8.1
There Will Be Blood,2007,R,158,Drama            ,8.2
Pirates of the Caribbean: On Stranger Tides,2011,PG-13,136,"Action, Adventure, Fantasy            ",6.6
Mission: Impossible - Ghost Protocol,2011,PG-13,132,"Action, Adventure, Thriller            ",7.4
The Matrix Revolutions,2003,R,129,"Action, Sci-Fi            ",6.7
The Great Gatsby,2013,PG-13,143,"Drama, Romance            ",7.2
Children of Men,2006,R,109,"Action, Drama, Sci-Fi            ",7.9
X-Men Origins: Wolverine,2009,PG-13,107,"Action, Sci-Fi            ",6.5
Crash,2004,R,112,"Crime, Drama, Thriller            ",7.7
American Hustle,2013,R,138,"Crime, Drama            ",7.2
Edward Scissorhands,1990,PG-13,105,"Drama, Fantasy, Romance            ",7.9
The Butterfly Effect,2004,R,113,"Drama, Sci-Fi, Thriller            ",7.6
American Psycho,2000,R,102,"Crime, Drama, Horror            ",7.6
Batman v Superman: Dawn of Justice,2016,PG-13,151,"Action, Adventure, Sci-Fi            ",6.5
Little Miss Sunshine,2006,R,101,"Comedy, Drama            ",7.8
Oldboy,2003,R,120,"Action, Drama, Mystery            ",8.4
Harry Potter and the Order of the Phoenix,2007,PG-13,138,"Action, Adventure, Family            ",7.5
Her,2013,R,126,"Drama, Romance, Sci-Fi            ",8.0
The Hobbit: The Battle of the Five Armies,2014,PG-13,144,"Adventure, Fantasy            ",7.4
Horrible Bosses,2011,R,98,"Comedy, Crime            ",6.9
Hot Fuzz,2007,R,121,"Action, Comedy, Mystery            ",7.8
Big Fish,2003,PG-13,125,"Adventure, Drama, Fantasy            ",8.0
The Perks of Being a Wallflower,2012,PG-13,103,Drama            ,7.9
Mr. & Mrs. Smith,2005,PG-13,120,"Action, Comedy, Crime            ",6.5
Twilight,2008,PG-13,122,"Drama, Fantasy, Romance            ",5.3
The Bourne Supremacy,2004,PG-13,108,"Action, Mystery, Thriller            ",7.7
Hancock,2008,PG-13,92,"Action, Comedy, Drama            ",6.4
The Fifth Element,1997,PG-13,126,"Action, Adventure, Sci-Fi            ",7.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95,"Comedy, War            ",8.4
Inside Out,2015,PG,95,"Animation, Adventure, Comedy            ",8.1
Divergent,2014,PG-13,139,"Action, Adventure, Mystery            ",6.6
Back to the Future Part II,1989,PG,108,"Adventure, Comedy, Sci-Fi            ",7.8
Mystic River,2003,R,138,"Crime, Drama, Mystery            ",7.9
Sherlock Holmes: A Game of Shadows,2011,PG-13,129,"Action, Adventure, Mystery            ",7.4
The Pursuit of Happyness,2006,PG-13,117,"Biography, Drama            ",8.0
Elysium,2013,R,109,"Action, Drama, Sci-Fi            ",6.6
Live Free or Die Hard,2007,PG-13,128,"Action, Thriller            ",7.1
War of the Worlds,2005,PG-13,116,"Action, Adventure, Sci-Fi            ",6.5
Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,"Action, Adventure            ",6.2
Casino,1995,R,178,"Crime, Drama            ",8.2
The Day After Tomorrow,2004,PG-13,124,"Action, Adventure, Sci-Fi            ",6.5
The Hurt Locker,2008,R,131,"Drama, Thriller, War            ",7.5
Warrior,2011,PG-13,140,"Action, Drama, Sport            ",8.1
Quantum of Solace,2008,PG-13,106,"Action, Adventure, Mystery            ",6.6
The Girl with the Dragon Tattoo,2011,R,158,"Crime, Drama, Mystery            ",7.8
Indiana Jones and the Temple of Doom,1984,PG,118,"Action, Adventure            ",7.5
Ice Age,2002,PG,81,"Animation, Adventure, Comedy            ",7.5
Harry Potter and the Deathly Hallows: Part 1,2010,PG-13,146,"Adventure, Family, Fantasy            ",7.7
The Wolverine,2013,PG-13,126,"Action, Sci-Fi            ",6.7
Lucy,2014,R,89,"Action, Sci-Fi, Thriller            ",6.4
Transformers: Dark of the Moon,2011,PG-13,154,"Action, Adventure, Sci-Fi            ",6.2
The Incredible Hulk,2008,PG-13,112,"Action, Adventure, Sci-Fi            ",6.6
Dallas Buyers Club,2013,R,117,"Biography, Drama            ",7.9
American Gangster,2007,R,157,"Biography, Crime, Drama            ",7.8
American Sniper,2014,R,133,"Action, Biography, Drama            ",7.3
Captain Phillips,2013,PG-13,134,"Action, Biography, Crime            ",7.8
Transformers: Revenge of the Fallen,2009,PG-13,149,"Action, Adventure, Sci-Fi            ",6.0
Armageddon,1998,PG-13,151,"Action, Adventure, Sci-Fi            ",6.7
Lost in Translation,2003,R,102,"Comedy, Drama            ",7.7
Harry Potter and the Half-Blood Prince,2009,PG,153,"Action, Adventure, Family            ",7.6
The Amazing Spider-Man 2,2014,PG-13,142,"Action, Adventure, Sci-Fi            ",6.6
Charlie and the Chocolate Factory,2005,PG,115,"Adventure, Comedy, Family            ",6.7
Love Actually,2003,R,135,"Comedy, Drama, Romance            ",7.6
The Help,2011,PG-13,146,Drama            ,8.1
The Mummy,1999,PG-13,124,"Action, Adventure, Fantasy            ",7.1
Dawn of the Planet of the Apes,2014,PG-13,130,"Action, Adventure, Drama            ",7.6
The Last Samurai,2003,R,154,"Action, Drama            ",7.8
Were the Millers,2013,R,110,"Comedy, Crime            ",7.0
King Kong,2005,PG-13,187,"Action, Adventure, Romance            ",7.2
Rear Window,1954,PG,112,"Mystery, Thriller            ",8.5
American Pie,1999,R,95,Comedy            ,7.0
Shrek 2,2004,PG,93,"Animation, Adventure, Comedy            ",7.3
The Da Vinci Code,2006,PG-13,149,"Mystery, Thriller            ",6.6
Gangs of New York,2002,R,167,"Crime, Drama            ",7.5
The 40-Year-Old Virgin,2005,R,116,"Comedy, Romance            ",7.1
Rush,2013,R,123,"Action, Biography, Drama            ",8.1
Ant-Man,2015,PG-13,117,"Action, Comedy, Sci-Fi            ",7.3
Home Alone,1990,PG,103,"Comedy, Family            ",7.7
This Is the End,2013,R,107,"Comedy, Fantasy            ",6.6
The Maze Runner,2014,PG-13,113,"Action, Mystery, Sci-Fi            ",6.8
Beauty and the Beast,1991,G,84,"Animation, Family, Fantasy            ",8.0
Tropic Thunder,2008,R,107,"Action, Comedy, War            ",7.1
In Bruges,2008,R,107,"Comedy, Crime, Drama            ",7.9
Kung Fu Panda,2008,PG,92,"Animation, Action, Adventure            ",7.6
Alice in Wonderland,2010,PG,108,"Adventure, Family, Fantasy            ",6.4
Training Day,2001,R,122,"Crime, Drama, Thriller            ",7.7
Terminator 3: Rise of the Machines,2003,R,109,"Action, Sci-Fi            ",6.3
The Hunger Games: Mockingjay - Part 1,2014,PG-13,123,"Action, Adventure, Sci-Fi            ",6.6
In Time,2011,PG-13,109,"Action, Sci-Fi, Thriller            ",6.7
The Terminal,2004,PG-13,128,"Comedy, Drama, Romance            ",7.4
Fury,2014,R,134,"Action, Drama, War            ",7.6
Godzilla,2014,PG-13,123,"Action, Adventure, Sci-Fi            ",6.4
Furious 6,2013,PG-13,130,"Action, Adventure, Crime            ",7.0
Midnight in Paris,2011,PG-13,94,"Comedy, Fantasy, Romance            ",7.6
Zodiac,2007,R,157,"Crime, Drama, Mystery            ",7.7
Mission: Impossible,1996,PG-13,110,"Action, Adventure, Thriller            ",7.2
Wanted,2008,R,110,"Action, Crime, Thriller            ",6.7
Die Hard with a Vengeance,1995,R,128,"Action, Adventure, Thriller            ",7.6
The Conjuring,2013,R,112,"Horror, Mystery, Thriller            ",7.5
Saw,2004,R,103,"Horror, Mystery, Thriller            ",7.6
Knocked Up,2007,R,129,"Comedy, Romance            ",6.9
Citizen Kane,1941,PG,119,"Drama, Mystery            ",8.3
28 Days Later,2002,R,113,"Drama, Horror, Sci-Fi            ",7.5
Borat,2006,R,84,Comedy            ,7.4
Bruce Almighty,2003,PG-13,101,"Comedy, Fantasy            ",6.8
Cloverfield,2008,PG-13,85,"Adventure, Horror, Sci-Fi            ",7.0
The Illusionist,2006,PG-13,110,"Drama, Fantasy, Mystery            ",7.5
Tangled,2010,PG,100,"Animation, Adventure, Comedy            ",7.7
The Princess Bride,1987,PG,98,"Adventure, Comedy, Family            ",8.0
Collateral,2004,R,120,"Action, Crime, Drama            ",7.5
Nightcrawler,2014,R,117,"Crime, Drama, Thriller            ",7.8
Black Hawk Down,2001,R,144,"Action, Drama, History            ",7.7
The Wizard of Oz,1939,PG,102,"Adventure, Family, Fantasy            ",8.1
Platoon,1986,R,120,"Drama, War            ",8.1
Predator,1987,R,107,"Action, Adventure, Horror            ",7.8
Dumb and Dumber,1994,PG-13,107,Comedy            ,7.3
Ex Machina,2014,R,108,"Drama, Sci-Fi, Thriller            ",7.7
Super 8,2011,PG-13,112,"Action, Mystery, Sci-Fi            ",7.0
Despicable Me 2,2013,PG,98,"Animation, Adventure, Comedy            ",7.3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,143,"Adventure, Family, Fantasy            ",6.9
Terminator Salvation,2009,PG-13,115,"Action, Adventure, Sci-Fi            ",6.5
The Devil Wears Prada,2006,PG-13,109,"Comedy, Drama            ",6.9
The Italian Job,2003,PG-13,111,"Action, Crime, Thriller            ",7.0
Cloud Atlas,2012,R,172,"Drama, Mystery, Sci-Fi            ",7.4
Oceans Twelve,2004,PG-13,125,"Crime, Thriller            ",6.5
Fast Five,2011,PG-13,130,"Action, Crime, Thriller            ",7.3
The Exorcist,1973,R,122,Horror            ,8.1
Face/Off,1997,R,138,"Action, Crime, Sci-Fi            ",7.3
Moneyball,2011,PG-13,133,"Biography, Drama, Sport            ",7.6
2012,2009,PG-13,158,"Action, Adventure, Sci-Fi            ",5.8
Back to the Future Part III,1990,PG,118,"Adventure, Comedy, Sci-Fi            ",7.4
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,"Drama, Horror, Musical            ",7.3
E.T.,1982,PG,115,"Adventure, Family, Sci-Fi            ",7.9
The Machinist,2004,R,101,"Drama, Thriller            ",7.6
The Town,2010,R,125,"Crime, Drama, Thriller            ",7.5
Wedding Crashers,2005,R,119,"Comedy, Romance            ",7.0
127 Hours,2010,R,94,"Biography, Drama            ",7.5
Big Hero 6,2014,PG,102,"Animation, Action, Adventure            ",7.8
The Lost World: Jurassic Park,1997,PG-13,129,"Action, Adventure, Sci-Fi            ",6.5
Furious 7,2015,PG-13,137,"Action, Crime, Thriller            ",7.1
Unforgiven,1992,R,130,"Drama, Western            ",8.2
Dead Poets Society,1989,PG,128,"Comedy, Drama            ",8.1
The Cabin in the Woods,2011,R,95,"Horror, Mystery, Thriller            ",7.0
Easy A,2010,PG-13,92,"Comedy, Drama, Romance            ",7.0
The Fighter,2010,R,116,"Action, Biography, Drama            ",7.8
Its a Wonderful Life,1946,PG,130,"Drama, Family, Fantasy            ",8.6
Spectre,2015,PG-13,148,"Action, Adventure, Thriller            ",6.8
Scott Pilgrim vs. the World,2010,PG-13,112,"Action, Comedy, Fantasy            ",7.5
Brave,2012,PG,93,"Animation, Action, Adventure            ",7.1
Inside Man,2006,R,129,"Crime, Drama, Mystery            ",7.6
Due Date,2010,R,95,"Comedy, Drama            ",6.5
Wreck-It Ralph,2012,PG,101,"Animation, Adventure, Comedy            ",7.7
The Fast and the Furious,2001,PG-13,106,"Action, Crime, Thriller            ",6.8
Life of Brian,1979,R,94,Comedy            ,8.0
Yes Man,2008,PG-13,104,"Comedy, Romance            ",6.8
Signs,2002,PG-13,106,"Drama, Mystery, Sci-Fi            ",6.8
Stand by Me,1986,R,89,"Adventure, Comedy, Drama            ",8.1
Amadeus,1984,R,160,"Biography, Drama, Music            ",8.4
50/50,2011,R,100,"Comedy, Drama, Romance            ",7.6
Up in the Air,2009,R,109,"Comedy, Drama, Romance            ",7.4
Men in Black II,2002,PG-13,88,"Action, Adventure, Comedy            ",6.2
The Expendables,2010,R,103,"Action, Adventure, Thriller            ",6.4
Friends with Benefits,2011,R,109,"Comedy, Romance            ",6.5
Ghostbusters,1984,PG,105,"Action, Comedy, Fantasy            ",7.8
Die Hard 2,1990,R,124,"Action, Thriller            ",7.1
The Hateful Eight,2015,R,168,"Crime, Drama, Mystery            ",7.8
Batman,1989,PG-13,126,"Action, Adventure            ",7.5
The Others,2001,PG-13,104,"Horror, Mystery, Thriller            ",7.6
